"Date","Net Asset Value(TZS)","Outstanding Number of Units","Nav Per Unit(TZS)","Sale Price per Unit(TZS)","Repurchase Price/Unit(TZS)"
"2026-03-27","68,976,260,674.02","480,510,356.0092","143.5479","143.5479","143.5479"
"2026-03-26","68,859,602,450.43","480,193,104.5605","143.3998","143.3998","143.3998"
"2026-03-25","68,588,745,357.07","478,801,204.0941","143.2510","143.2510","143.2510"
"2026-03-24","67,420,125,355.34","471,141,184.5852","143.0996","143.0996","143.0996"
"2026-03-23","67,169,254,030.69","469,890,255.1913","142.9467","142.9467","142.9467"
"2026-03-20","66,545,504,927.26","466,232,841.3353","142.7302","142.7302","142.7302"
"2026-03-19","66,319,531,578.62","464,885,359.4665","142.6578","142.6578","142.6578"
"2026-03-18","66,262,287,773.52","464,716,388.7674","142.5865","142.5865","142.5865"
"2026-03-17","66,168,071,974.46","464,290,019.3428","142.5145","142.5145","142.5145"
"2026-03-16","66,081,551,500.73","463,921,457.2500","142.4412","142.4412","142.4412"
"2026-03-13","65,687,949,473.71","461,863,114.4288","142.2238","142.2238","142.2238"
"2026-03-12","65,638,161,550.04","461,707,162.5051","142.1641","142.1641","142.1641"
"2026-03-11","65,549,150,190.39","461,275,284.2602","142.1042","142.1042","142.1042"
"2026-03-10","65,051,444,428.63","457,967,454.5807","142.0438","142.0438","142.0438"
"2026-03-09","64,943,792,455.68","457,407,432.3550","141.9824","141.9824","141.9824"
"2026-03-06","64,771,332,733.51","456,774,177.5610","141.8017","141.8017","141.8017"
"2026-03-05","64,680,099,162.04","456,326,137.6239","141.7409","141.7409","141.7409"
"2026-03-04","64,530,333,193.40","455,375,975.8849","141.7078","141.7078","141.7078"
"2026-03-03","64,379,904,168.26","454,418,969.4985","141.6752","141.6752","141.6752"
"2026-03-02","64,386,501,838.26","454,573,282.9499","141.6416","141.6416","141.6416"
"2026-02-27","64,006,508,809.08","452,216,050.4294","141.5397","141.5397","141.5397"
"2026-02-26","63,923,332,080.33","451,747,772.9182","141.5023","141.5023","141.5023"
