DATE,Net Asset Value (TZS),Outstanding Number of Units,NAV per Unit (TZS),Sale Price Per Unit (TZS),Repurchase Price Per Unit (TZS)
27-03-2026,52595561833,418696934,125.6069,125.6069,125.6069
26-03-2026,53196238433,423617598,125.5658,125.5658,125.5658
25-03-2026,53234543458,424069021,125.5224,125.5224,125.5224
24-03-2026,53089705076,423145664,125.4541,125.4541,125.4541
23-03-2026,52423278155,417971491,125.4128,125.4128,125.4128
20-03-2026,52281547159,417252026,125.2894,125.2894,125.2894
19-03-2026,51732459139,412993704,125.2518,125.2518,125.2518
18-03-2026,51346255985,410074893,125.2016,125.2016,125.2016
17-03-2026,50656584844,404722245,125.1535,125.1535,125.1535
16-03-2026,50259700911,401708503,125.1046,125.1046,125.1046
13-03-2026,50163347694,401304622,124.9904,124.9904,124.9904
03/12/2026,49887356567,399255756,124.9406,124.9406,124.9406
03/11/2026,49834939392,398961337,124.9014,124.9014,124.9014
03/10/2026,49932018121,399841517,124.8693,124.8693,124.8693
03/09/2026,50064835975,401077620,124.8155,124.8155,124.8155
03/06/2026,49711275078,400501679,124.1123,124.1123,124.1123
03/05/2026,49584656560,399583920,124.0805,124.0805,124.0805
03/04/2026,49116778911,396063212,124.0023,124.0023,124.0023
03/03/2026,48600584657,393949804,123.3573,123.3573,123.3573
03/02/2026,48556851790,393714622,123.3199,123.3199,123.3199
27-02-2026,48114770835,390480149,123.2094,123.2094,123.2094
26-02-2026,47971940720,389456321,123.1666,123.1666,123.1666
25-02-2026,47959787490,389483487,123.1268,123.1268,123.1268
24-02-2026,47968837272,389708878,123.0788,123.0788,123.0788
23-02-2026,47971148222,389842422,123.0425,123.0425,123.0425
20-02-2026,48017140342,390588666,122.9252,122.9252,122.9252
19-02-2026,48045678020,390976489,122.8763,122.8763,122.8763
18-02-2026,48117105220,391712576,122.8277,122.8277,122.8277
17-02-2026,47685890165,388499820,122.7336,122.7336,122.7336
16-02-2026,47671841347,388499820,122.6974,122.6974,122.6974
13-02-2026,47918088624,390900343,122.5738,122.5738,122.5738
02/12/2026,45763724353,373475140,122.5248,122.5248,122.5248
02/11/2026,43946098540,358722381,122.4972,122.4972,122.4972
02/10/2026,42975821353,350894973,122.4648,122.4648,122.4648
02/09/2026,42622785176,348140118,122.4199,122.4199,122.4199
02/06/2026,41460130441,338907458,122.3246,122.3246,122.3246
02/05/2026,41376624439,338312910,122.2928,122.2928,122.2928
02/04/2026,40606964598,332151718,122.2442,122.2442,122.2442
02/03/2026,41208145614,337159750,122.2114,122.2114,122.2114
02/02/2026,39728337179,325117431,122.1868,122.1868,122.1868
30-01-2026,39359843270,322367202,122.0863,122.0863,122.0863
29-01-2026,39711603242,325351764,122.0474,122.0474,122.0474
28-01-2026,39873237598,326793088,122.0037,122.0037,122.0037
27-01-2026,39719541363,325637585,121.9647,121.9647,121.9647
26-01-2026,39519916948,324090072,121.9311,121.9311,121.9311
23-01-2026,39354434051,322991132,121.8337,121.8337,121.8337
22-01-2026,39152961566,321403964,121.8085,121.8085,121.8085
21-01-2026,39064130400,320762476,121.7752,121.7752,121.7752
