Date,Redeemed Units,Initial Units,Added Units,Fund Net Value (TZS),Total Number of Units,NAV (TZS)
27 March 2026,-,-,-,"6,939,560,920","62,579,757",110.8915
26 March 2026,-,-,-,"6,937,477,188","62,577,930",110.8614
25 March 2026,-,-,-,"6,838,866,982","61,705,459",110.8308
24 March 2026,-,-,-,"6,838,962,872","61,723,360",110.8002
23 March 2026,-,-,-,"6,832,499,300","61,681,989",110.7698
20 March 2026,-,-,-,"6,626,951,108","59,876,194",110.6776
19 March 2026,-,-,-,"6,620,135,044","59,831,732",110.6459
18 March 2026,-,-,-,"6,611,466,500","59,770,505",110.6142
17 March 2026,-,-,-,"6,609,558,042","59,770,397",110.5825
16 March 2026,-,-,-,"6,606,518,801","59,760,044",110.5508
13 March 2026,-,-,-,"6,598,133,576","59,735,608",110.4556
12 March 2026,-,-,-,"6,588,619,503","59,666,602",110.4239
11 March 2026,-,-,-,"6,576,571,382","59,574,650",110.3921
10 March 2026,-,-,-,"6,575,734,380","59,583,203",110.3622
9 March 2026,-,-,-,"6,490,350,173","58,825,778",110.3317
6 March 2026,-,-,-,"6,485,010,100","58,829,050",110.2348
5 March 2026,-,-,-,"6,483,043,686","58,828,455",110.2025
4 March 2026,-,-,-,"6,484,307,966","58,857,195",110.1702
3 March 2026,-,,-,"6,482,406,863","58,857,195",110.1379
2 March 2026,-,-,-,"6,477,076,791","58,881,974",110.001
26 February 2026,-,-,-,"6,470,724,253","58,858,230",109.9375
25 February 2026,-,-,-,"6,459,366,626","58,771,385",109.9067
24 February 2026,-,-,-,"6,452,701,499","58,726,931",109.8764
23 February 2026,-,-,-,"6,444,569,666","58,708,211",109.7729
20 February 2026,-,-,-,"6,441,440,184","58,679,777",109.7727
19 February 2026,-,-,-,"6,438,051,825","58,681,223",109.7123
18 February 2026,-,-,-,"6,434,037,832","58,643,823",109.7138
17 February 2026,-,-,-,"6,401,653,927","58,384,045",109.6473
16 February 2026,-,-,-,"6,445,876,567","58,802,440",109.6192
13 February 2026,-,-,-,"6,381,341,623","58,265,071",109.5226
12 February 2026,-,-,-,"6,204,007,549","56,661,889",109.4917
11 February 2026,-,-,-,"6,199,331,047","56,637,762",109.4558
10 February 2026,-,-,-,"6,196,050,589","56,625,217",109.4221
9 February 2026,-,-,-,"6,190,589,996","56,630,938",109.3146
6 February 2026,-,-,-,"6,179,184,457","56,543,863",109.2813
5 February 2026,-,-,-,"6,173,286,471","56,506,820",109.2485
4 February 2026,-,-,-,"6,162,295,059","56,406,445",109.2481
3 February 2026,-,-,-,"6,157,327,075","56,389,959",109.1919
2 February 2026,-,-,-,"6,148,932,826","56,375,518",109.071
30 January 2026,-,-,-,"6,143,836,764","56,346,257",109.0372
29 January 2026,-,-,-,"6,134,654,336","56,279,288",109.0038
28 January 2026,-,-,-,"6,118,521,921","56,131,041",109.0042
27 January 2026,-,-,-,"6,118,377,202","56,147,313",108.9701
26 January 2026,-,-,-,"6,145,537,259","56,472,050",108.8244
23 January 2026,-,-,-,"6,141,746,259","56,437,137",108.8246
22 January 2026,-,-,-,"6,118,373,742","56,357,283",108.564
21 January 2026,-,-,,"6,118,173,742","56,355,443",108.564
20 January 2026,-,-,-,"6,106,424,742","56,246,730",108.565
19 January 2026,-,-,-,"6,106,114,742","56,243,851",108.565
16 January 2026,-,-,-,"6,097,022,501","56,160,053",108.5651
