Date,Initial Units,Added Units,Fund Net Value,Total Units,NAV,Closing Price
19 March 2026,-,-,"20,141,418,228","54,002,325",372.9732,395.00
18 March 2026,-,-,"20,224,480,238","54,002,325",374.5113,395.00
17 March 2026,-,-,"20,199,839,638","54,002,325",374.055,395.00
16 March 2026,-,-,"19,913,135,255","54,002,325",368.7459,395.00
13 March 2026,-,-,"19,974,039,974","54,002,325",369.8737,395.00
12 March 2026,-,-,"20,195,321,429","54,002,325",373.9713,395.00
11 March 2026,-,-,"20,085,419,327","54,002,325",371.9362,395.00
10 March 2026,-,-,"19,916,469,945","54,002,325",368.8076,400.00
9 March 2026,-,-,"19,608,089,183","54,002,325",363.0971,395.00
6 March 2026,-,-,"19,319,195,195","54,002,325",357.7475,395.00
5 March 2026,-,-,"19,722,524,522","54,002,325",365.2162,400.00
4 March 2026,-,-,"20,103,562,410","54,002,325",372.2722,400.00
3 March 2026,-,-,"20,374,764,483","54,002,325",377.2942,400.00
2 March 2026,-,-,"20,729,858,556","54,002,325",383.8697,400.00
26 February 2026,-,-,"20,447,661,673","54,002,325",378.6441,395.00
23 February 2026,-,-,"20,402,746,787","54,002,325",377.8124,395.00
20 February 2026,-,-,"20,251,559,498","54,002,325",375.0127,390.00
19 February 2026,-,-,"20,402,971,021","54,002,325",377.8165,390.00
18 February 2026,-,-,"20,485,946,399","54,002,325",379.353,385.00
17 February 2026,-,-,"20,186,125,335","54,002,325","3,738,010",385.00
16 February 2026,-,-,"19,927,671,532","54,002,325",369.0151,390.00
13 February 2026,-,--,"19,883,397,936","54,002,325",368.1952,390.00
12 February 2026,-,-,"19,332,901,102","54,002,325",358.0013,390.00
11 February 2026,-,-,"19,135,400,079","54,002,325",354.344,385.00
10 February 2026,-,-,"19,028,802,748","54,002,325",353.3701,390.00
