"S/N","Net Asset Value","Outstanding number of units","Nav Per Unit","Sale Price per unit","Repurchase Price per unit","Date valued"
"1","32,899,935,063.56","247,863,660.13","132.7340","132.7340","132.7340","2026-03-27"
"2","32,788,976,296.41","247,101,804.72","132.6942","132.6942","132.6942","2026-03-26"
"3","32,740,586,214.53","246,813,763.84","132.6530","132.6530","132.6530","2026-03-25"
"4","32,650,632,878.89","246,212,123.50","132.6118","132.6118","132.6118","2026-03-24"
"5","32,578,360,933.39","245,896,320.83","132.4882","132.4882","132.4882","2026-03-23"
"6","32,959,012,494.16","248,846,802.83","132.4470","132.4470","132.4470","2026-03-20"
"7","32,922,810,376.52","248,650,817.23","132.4058","132.4058","132.4058","2026-03-19"
"8","32,776,803,258.87","247,625,144.93","132.3646","132.3646","132.3646","2026-03-18"
"9","33,297,240,860.34","251,635,318.17","132.3234","132.3234","132.3234","2026-03-17"
"10","33,256,180,700.91","251,403,483.17","132.2821","132.2821","132.2821","2026-03-16"
"11","33,191,462,421.62","251,148,903.94","132.1585","132.1585","132.1585","2026-03-13"
"12","33,172,695,522.88","251,085,176.00","132.1173","132.1173","132.1173","2026-03-12"
"13","32,415,520,995.70","245,430,634.28","132.0761","132.0761","132.0761","2026-03-11"
"14","32,349,161,055.78","245,004,624.20","132.0349","132.0349","132.0349","2026-03-10"
"15","32,326,266,146.60","244,907,644.43","131.9937","131.9937","131.9937","2026-03-09"
"16","31,836,469,137.44","241,422,954.39","131.8701","131.8701","131.8701","2026-03-06"
"17","31,776,259,222.25","241,041,860.52","131.8288","131.8288","131.8288","2026-03-05"
"18","31,708,824,454.28","240,605,523.24","131.7876","131.7876","131.7876","2026-03-04"
"19","31,754,996,407.55","241,031,226.72","131.7464","131.7464","131.7464","2026-03-03"
"20","31,554,317,833.80","239,582,930.92","131.7052","131.7052","131.7052","2026-03-02"
"21","31,827,421,991.97","241,883,530.77","131.5816","131.5816","131.5816","2026-02-27"
"22","31,634,680,966.10","241,873,111.22","130.7904","130.7904","130.7904","2026-02-26"
"23","31,364,677,684.66","239,884,279.86","130.7492","130.7492","130.7492","2026-02-25"
"24","31,294,041,972.94","239,494,974.80","130.6668","130.6668","130.6668","2026-02-23"
"25","31,097,304,742.78","239,591,355.34","129.7931","129.7931","129.7931","2026-02-20"
"26","31,021,686,530.35","239,084,641.77","129.7519","129.7519","129.7519","2026-02-19"
"27","31,010,179,842.27","239,071,871.81","129.7107","129.7107","129.7107","2026-02-18"
"28","30,838,592,210.05","237,824,563.29","129.6695","129.6695","129.6695","2026-02-17"
"29","30,833,958,865.60","237,864,408.20","129.6283","129.6283","129.6283","2026-02-16"
"30","30,605,778,234.89","236,329,478.66","129.5047","129.5047","129.5047","2026-02-13"
"31","30,251,986,254.83","233,671,932.67","129.4635","129.4635","129.4635","2026-02-12"
"32","30,215,399,171.21","233,463,623.90","129.4223","129.4223","129.4223","2026-02-11"
"33","30,096,173,405.13","232,616,639.27","129.3810","129.3810","129.3810","2026-02-10"
"34","29,971,617,276.53","231,727,722.45","129.3398","129.3398","129.3398","2026-02-09"
"35","29,981,340,407.72","232,024,625.46","129.2162","129.2162","129.2162","2026-02-06"
"36","29,998,962,127.25","232,235,046.47","129.1750","129.1750","129.1750","2026-02-05"
"37","29,794,116,269.91","230,796,469.12","129.0926","129.0926","129.0926","2026-02-03"
"38","29,835,133,165.11","29,835,133,165.11","129.0514","129.0514","129.0514","2026-02-02"
"39","29,376,843,045.61","230,823,905.54","127.2695","127.2695","127.2695","2026-01-30"
"40","29,101,609,400.30","231,383,664.58","125.7721","125.7721","125.7721","2026-01-29"
"41","28,595,913,665.52","229,898,224.67","124.3851","124.3851","124.3851","2026-01-28"
"42","28,636,239,971.93","230,223,170.31","124.3847","124.3847","124.3847","2026-01-27"
"43","28,620,642,583.55","230,099,993.84","124.3835","124.3835","124.3835","2026-01-26"
"44","28,493,540,347.41","229,347,156.96","124.2376","124.2376","124.2376","2026-01-23"
"45","28,392,205,390.18","228,615,229.07","124.1921","124.1921","124.1921","2026-01-22"
"46","28,377,325,575.53","228,556,699.77","124.1588","124.1588","124.1588","2026-01-21"
"47","28,365,408,930.22","228,528,639.43","124.1219","124.1219","124.1219","2026-01-20"
"48","28,341,320,752.10","228,404,128.75","124.0841","124.0841","124.0841","2026-01-19"
"49","28,104,306,917.42","228,385,577.00","123.0564","123.0564","123.0564","2026-01-16"
"50","28,097,823,166.57","228,435,729.52","123.0010","123.0010","123.0010","2026-01-15"
"51","28,079,537,102.84","228,341,642.32","122.9716","122.9716","122.9716","2026-01-14"
"52","28,049,896,359.38","228,169,442.75","122.9345","122.9345","122.9345","2026-01-13"
"53","27,965,444,343.86","227,758,710.27","122.7854","122.7854","122.7854","2026-01-09"
"54","27,938,338,459.85","227,604,128.24","122.7497","122.7497","122.7497","2026-01-08"
"55","27,748,644,473.88","226,126,916.56","122.7127","122.7127","122.7127","2026-01-07"
"56","27,640,541,071.79","225,313,905.46","122.6757","122.6757","122.6757","2026-01-06"
"57","27,317,348,945.71","222,746,563.24","122.6387","122.6387","122.6387","2026-01-05"
"58","27,178,635,312.32","221,816,072.05","122.5278","122.5278","122.5278","2026-01-02"
"59","27,157,407,546.95","221,821,326.51","122.4292","122.4292","122.4292","2025-12-31"
"60","27,023,625,718.46","220,817,517.57","122.3799","122.3799","122.3799","2025-12-30"
"61","26,687,263,803.25","219,178,156.18","121.7606","121.7606","121.7606","2025-12-29"
"62","26,623,521,638.23","219,098,028.36","121.5142","121.5142","121.5142","2025-12-24"
"63","26,363,764,933.41","219,250,587.21","120.2449","120.2449","120.2449","2025-12-23"
"64","26,345,623,720.89","219,207,822.91","120.1856","120.1856","120.1856","2025-12-22"
"65","26,678,357,103.96","222,229,306.32","120.0488","120.0488","120.0488","2025-12-19"
